Nielsen Media Research,0,0,0,0,0,0,0,0,0
Katz Television Group,1,1,1,1,0,0,0,0,0
New York A,0,0,0,0,0,0,0,0,0
American Idol,0,0,0,0,1,0,0,0,0
Nielsen Media,0,0,0,0,0,0,0,0,0
Media Research,0,0,0,0,0,0,0,0,0
National Football,0,0,0,0,0,0,1,0,0
American Conference,0,0,0,0,0,0,0,0,0
Simon Cowell,0,0,0,0,0,0,0,0,0
Randy Jackson,0,0,0,0,0,0,0,0,0
Bill Carroll,0,0,0,0,0,0,0,1,1
York A,0,0,0,0,0,0,0,0,0
Idol,0,0,0,0,1,0,0,0,0
Research,0,0,0,0,0,0,0,0,0
Idol,0,0,0,0,1,0,0,0,0
Idol,0,0,0,0,1,0,0,0,0
Fox,0,0,0,0,0,0,0,0,0
Conference,0,0,0,0,0,0,0,0,0
Sunday,0,0,0,0,0,0,0,0,0
Idol,0,0,0,0,1,0,0,0,0
Cowell,0,0,0,0,0,0,0,0,0
Controversy,0,0,0,0,0,0,0,0,0
Carroll,0,0,0,0,0,0,0,1,1
Idol,0,0,0,0,1,0,0,0,0
Carroll,0,0,0,0,0,0,0,0,0
Maanshan Iron And Steel Co,1,1,1,1,1,0,1,0,0
Iron And Steel,0,0,0,1,1,0,0,0,0
Credit Suisse Group,1,1,1,1,1,0,0,0,0
Iron And,0,0,0,1,0,0,0,0,0
And Steel,0,0,0,1,1,0,0,0,0
Hong Kong-listed,0,0,0,0,0,0,0,0,0
Maanshan Steel,1,0,1,1,1,0,0,0,0
Trina Chen,0,0,0,0,0,1,0,1,0
Mick Mi,0,0,0,0,0,0,0,0,0
Maanshan Steel,1,0,1,1,1,0,1,0,0
Credit Suisse,1,0,1,1,1,0,0,0,0
Credit Suisse,1,0,1,1,1,0,0,0,0
Credit Suisse,1,0,1,1,1,0,0,0,0
HK$590 The,0,0,0,0,0,0,0,0,0
Kong-listed,0,0,0,0,0,0,0,0,0
Chen,0,0,0,0,0,1,0,1,0
Mi,0,0,0,0,0,0,0,0,0
Domestic,0,0,0,0,0,0,0,0,0
Maanshan,1,0,1,1,0,0,0,0,1
Maanshan,1,0,1,1,0,0,0,0,1
Profit,0,0,0,0,0,0,0,0,0
Maanshan,1,0,1,1,0,0,0,0,0
Maanshan,1,0,1,1,0,0,0,0,0
Kong,0,0,0,0,0,0,0,0,0
Fidentia Asset Management Ltd,1,1,1,1,1,0,0,1,0
Living Hands Umbrella Trust,0,1,1,1,0,0,0,0,0
South African Press Association,0,0,0,0,0,0,1,0,0
Absa Group Ltd,1,1,1,1,1,0,1,0,0
Living Hands Umbrella,0,0,1,1,0,0,0,0,0
Hands Umbrella Trust,0,1,1,1,0,0,0,0,0
Chairman Arthur Brown,0,0,0,0,0,0,0,1,0
South African Press,0,0,0,0,0,0,0,0,0
African Press Association,0,0,0,0,0,0,1,0,0
ASA South,0,0,0,0,0,0,1,0,0
Danisa Baloyi,0,0,0,0,1,0,0,1,0
Asset Management,0,1,1,1,0,0,0,0,0
Living Hands,0,0,1,1,0,0,0,1,0
Living Hands,0,0,1,1,0,0,0,0,0
Hands Umbrella,0,0,1,1,0,0,0,0,0
Umbrella Trust,0,1,1,1,0,0,0,0,0
Chairman Arthur,0,0,0,0,0,0,0,1,0
Arthur Brown,0,0,0,0,0,0,0,1,0
Graham Maddock,0,0,0,0,0,0,0,1,0
African Press,0,0,0,0,0,0,0,0,0
Press Association,0,0,0,0,0,0,1,0,0
Barclays Plc,1,1,1,1,0,0,1,0,0
Vernon Wessels,0,0,0,0,0,0,0,0,0
Adrian Cox,0,0,0,0,0,0,0,0,0
Frank Connelly,0,0,0,0,0,0,0,0,0
Baloyi,0,0,0,0,1,0,0,1,0
Baloyi,0,0,0,0,1,0,0,0,0
Absa,1,0,1,1,1,0,0,0,0
Absa,1,0,1,1,1,0,0,0,0
Baloyi,0,0,0,0,1,0,0,1,0
Absa,1,0,1,1,1,1,0,0,0
Baloyi,0,0,0,0,1,0,0,0,0
Absa,1,0,1,1,1,0,0,0,1
Fidentia,1,0,1,1,1,1,0,0,0
Baloyi,0,0,0,0,1,0,0,1,0
Hands,0,0,1,1,0,0,0,1,0
Fidentia,1,0,1,1,1,0,0,0,0
Fidentia,1,0,1,1,1,0,0,0,0
Brown,0,0,0,0,0,0,0,1,0
Maddock,0,0,0,0,0,0,0,1,0
Town,0,0,0,0,0,0,0,0,0
Brown,0,0,0,0,0,0,0,0,0
Association,0,0,0,0,0,0,1,0,0
Absa,1,0,1,1,1,0,0,0,0
Wessels,0,0,0,0,0,0,0,0,0
Cox,0,0,0,0,0,0,0,0,0
Connelly,0,0,0,0,0,0,0,0,0
ACE Aviation Holdings Inc,1,1,1,1,1,0,0,0,0
Jazz Air Income Fund,0,1,1,1,1,0,0,0,0
Jazz Air Income,0,0,1,1,1,0,0,0,0
Air Income Fund,0,1,1,1,1,0,0,0,0
Aviation Holdings,0,1,1,1,0,0,0,0,0
Air Canada,1,0,1,1,1,0,1,0,0
Air Canada,1,0,1,1,1,0,0,0,0
Pilots Association,0,0,0,0,1,0,0,0,0
Douglas Stanley,0,0,0,0,0,0,0,0,0
Air Canada,1,0,1,1,1,0,0,0,0
Teamsters Canada,0,0,0,0,1,0,0,0,0
Michel Picher,0,0,0,0,0,0,0,0,0
Canadian Union,0,0,0,0,0,0,0,0,0
Public Employees,0,0,0,0,0,0,0,0,0
Air Canada,1,0,1,1,1,0,0,0,0
Jazz Air,0,0,1,1,1,0,0,0,0
Air Income,0,0,1,1,1,0,0,0,0
Income Fund,0,1,1,1,0,0,0,0,0
Doug Alexander,0,0,0,0,0,0,0,0,0
Dave Versical,0,0,0,0,0,0,0,0,0
Association,0,0,0,0,0,0,0,0,0
ACE,1,0,1,1,1,1,0,0,0
Mechanics,0,0,0,0,0,0,0,0,0
Jazz,0,0,1,1,1,0,0,0,0
ACE,1,0,1,1,1,0,0,0,0
Jazz,0,0,1,1,1,1,0,0,0
Picher,0,0,0,0,0,0,0,0,0
Jazz,0,0,1,1,1,0,0,0,0
ACE,1,0,1,1,1,0,0,0,0
Employees,0,0,0,0,0,0,0,0,0
Shares,0,0,0,0,0,0,0,0,0
ACE,1,0,1,1,1,0,0,0,0
Units,0,0,0,0,0,0,0,0,0
ACE,1,0,1,1,1,0,1,0,0
Canadian,0,0,0,0,0,0,0,0,0
Income,0,0,1,1,0,0,0,0,0
Alexander,0,0,0,0,0,0,0,0,0
Versical,0,0,0,0,0,0,0,0,0
US District Judge Shira Scheindlin,0,0,0,0,0,0,0,0,0
Time Warner Cable Inc,1,1,1,1,0,0,0,0,0
